Locus_ID,log2FoldChange
LOC105667926,0.647300185
LOC105667927,0.365834773
LOC105667929,0.515323037
LOC105667930,0.527292552
LOC105667931,0.34686562
LOC105667932,0.493783092
LOC105667933,-0.071576345
LOC105667934,0.150626951
LOC105667935,0.254984479
LOC105667936,-0.131617911
LOC105667937,-0.141595863
LOC105667938,0.284318453
LOC105667939,0.376315089
LOC105667940,0.503843098
LOC105667941,0.231179721
LOC105667942,0.292715291
LOC105667943,0.487036547
LOC105667944,0.304202472
LOC105667945,-0.399488109
LOC105667946,0.201993304
LOC105667947,0.401767044
LOC105667948,0.197678672
LOC105667949,-0.365680674
LOC105667950,0.173103424
LOC105667951,-0.462354656
LOC105667952,0.285246579
LOC105667953,0.755407209
LOC105667954,-0.093869847
LOC105667955,0.204692009
LOC105667956,0.212472648
LOC105667957,0.046290842
LOC105667958,-0.058735299
LOC105667959,0.326167042
LOC105667960,0.282700894
LOC105667961,0.246477966
LOC105667962,0.36607986
LOC105667963,0.388277129
LOC105667964,0.769589539
LOC105667965,-0.033331667
LOC105667966,0.114448013
LOC105667967,0.049413538
LOC105667968,-0.211066369
LOC105667969,0.45630513
LOC105667970,0.158945127
LOC105667971,0.431147967
LOC105667972,0.129062043
LOC105667973,0.275524146
LOC105667974,0.506485019
LOC105667975,0.626184675
LOC105667976,0.280986937
LOC105667977,-0.011864415
LOC105667978,0.131899071
LOC105667979,0.245697839
LOC105667980,-0.148099525
LOC105667981,-0.22312605
LOC105667982,-1.135761951
LOC105667983,0.194365527
LOC105667984,-0.337525079
LOC105667985,0.372624504
LOC105667986,-0.307862872
LOC105667987,-0.372656046
LOC105667988,-0.499078
LOC105667989,0.237541861
LOC105667990,0.052129286
LOC105667991,-0.286771231
LOC105667992,-0.200472107
LOC105667993,-0.592244169
LOC105667994,0.375461678
LOC105667995,0.017735708
LOC105667996,0.037397801
LOC105667997,0.148413633
LOC105667998,-0.344910173
LOC105667999,-0.038277944
LOC105668000,-0.260605949
LOC105668001,0.106262846
LOC105668002,0.269124174
LOC105668003,0.017735708
LOC105668004,0.550074563
LOC105668005,0.373018633
LOC105668006,0.187383133
LOC105668007,-0.298781403
LOC105668008,-0.070970215
LOC105668009,0.195632478
LOC105668010,0.260653112
LOC105668011,0.509162436
LOC105668012,0.376331425
LOC105668013,0.37500981
LOC105668014,-0.383759954
LOC105668015,0.553601332
LOC105668016,0.302180425
LOC105668017,0.441379703
LOC105668018,0.491369413
LOC105668019,0.084978169
LOC105668020,-0.15598432
LOC105668021,0.293447574
LOC105668022,0.434406003
LOC105668023,0.549974716
LOC105668024,-0.526825552
LOC105668025,0.908371776
LOC105668026,0.419031943
LOC105668027,0.414400487
LOC105668028,0.198808764
LOC105668029,-0.282089014
LOC105668030,0.017735708
LOC105668031,-0.199115373
LOC105668032,0.789208299
LOC105668033,0.829672431
LOC105668034,0.484573617
LOC105668035,0.464934605
LOC105668036,-0.603325625
LOC105668037,-0.112485106
LOC105668038,0.215666168
LOC105668039,0.084994825
LOC105668040,0.756582391
LOC105668041,0.001672769
LOC105668042,-0.09353197
LOC105668043,-1.387944019
LOC105668044,0.079915569
LOC105668045,0.017735708
LOC105668046,-0.108321816
LOC105668047,0.397951822
LOC105668048,0.355691837
LOC105668049,0.400449183
LOC105668050,0.224408273
LOC105668051,0.157529295
LOC105668052,0.22791245
LOC105668053,0.502842015
LOC105668054,0.237541861
LOC105668055,0.386931385
LOC105668056,0.428010854
LOC105668057,-0.034629292
LOC105668058,0.022827836
LOC105668059,-1.004127244
LOC105668060,0.415013164
LOC105668061,0.138074476
LOC105668062,-0.033426147
LOC105668063,0.34686562
LOC105668064,0.510139631
LOC105668065,0.227814204
LOC105668066,0.182377061
LOC105668067,-0.05129693
LOC105668068,0.151325518
LOC105668069,0.254066535
LOC105668070,0.008154893
LOC105668071,0.222378287
LOC105668072,-0.116211742
LOC105668073,0.446799783
LOC105668074,-0.463500826
LOC105668075,-0.319821122
LOC105668076,0.278301648
LOC105668077,-0.505830094
LOC105668078,0.197994749
LOC105668079,0.535954236
LOC105668080,-0.147118467
LOC105668081,0.00397798
LOC105668082,0.170626911
LOC105668083,-0.610233748
LOC105668084,0.623334977
LOC105668085,0.450589003
LOC105668086,0.308718366
LOC105668088,0.082818974
LOC105668089,0.47158654
LOC105668090,0.271361218
LOC105668091,0.549873449
LOC105668092,0.399031023
LOC105668093,0.197479771
LOC105668094,0.648495152
LOC105668095,0.316446476
LOC105668096,0.272966251
LOC105668097,-0.392589226
LOC105668098,-0.229540349
LOC105668099,0.180003776
LOC105668100,0.204466967
LOC105668101,0.355209575
LOC105668102,0.629963076
LOC105668103,-0.005003368
LOC105668104,0.228284721
LOC105668105,0.1501849
LOC105668106,0.267747582
LOC105668107,0.197479771
LOC105668108,0.332305522
LOC105668109,0.473262525
LOC105668110,0.366108868
LOC105668111,0.103271115
LOC105668112,0.277059229
LOC105668113,0.337934891
LOC105668114,0.260915162
LOC105668115,-1.457591183
LOC105668116,0.418950602
LOC105668117,0.269053201
LOC105668118,0.064221213
LOC105668119,0.088608558
LOC105668120,0.220405324
LOC105668121,0.694826301
LOC105668122,0.200866557
LOC105668123,0.718748515
LOC105668124,0.270006857
LOC105668125,0.315700767
LOC105668126,-0.282058937
LOC105668127,0.453186011
LOC105668128,-0.526883826
LOC105668129,0.475174528
LOC105668130,0.146073515
LOC105668131,0.044862774
LOC105668132,0.721227914
LOC105668133,0.287164963
LOC105668134,1.030384425
LOC105668135,-0.190091674
LOC105668136,0.03616999
LOC105668137,-0.883927509
LOC105668138,0.373512639
LOC105668139,0.006372924
LOC105668140,0.11435074
LOC105668141,-0.283586244
LOC105668142,0.328838989
LOC105668143,-0.195580804
LOC105668144,0.374138949
LOC105668145,0.002254603
LOC105668146,0.103733072
LOC105668147,0.013679271
LOC105668148,-0.191296686
LOC105668149,-0.631014303
LOC105668150,0.18195667
LOC105668151,0.249084535
LOC105668152,-0.587494205
LOC105668153,0.300127902
LOC105668154,0.37540121
LOC105668155,-0.472089215
LOC105668156,-0.085983547
LOC105668157,0.60413179
LOC105668158,0.61437426
LOC105668159,-0.090930697
LOC105668160,-0.230911462
LOC105668161,-0.043094236
LOC105668162,-0.002353927
LOC105668163,-0.444647594
LOC105668164,0.627942231
LOC105668165,-0.303757077
LOC105668166,-0.183739292
LOC105668167,0.806584446
LOC105668168,0.262534661
LOC105668169,0.321073992
LOC105668170,0.398496054
LOC105668171,0.38772744
LOC105668172,-0.283329837
LOC105668173,0.305567978
LOC105668174,0.369012845
LOC105668175,0.095835762
LOC105668176,0.09336771
LOC105668177,0.021547137
LOC105668178,0.199937142
LOC105668179,-0.445392425
LOC105668180,-0.203279717
LOC105668181,0.153708386
LOC105668182,-0.257428382
LOC105668183,-0.517558277
LOC105668184,0.504396512
LOC105668185,0.081504169
LOC105668186,-0.530750637
LOC105668187,0.335002894
LOC105668188,0.297436326
LOC105668189,-1.473825015
